,Agent,Mass,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
58,LSTM Agent,14,643.4020583320721,1.1209095092893242,True,13598.202,0.5
59,LSTM Agent,16,328.542736915194,0.5814915697614053,True,16689.418,0.5
60,LSTM Agent,8,1821.4531833938913,3.1513030854565596,True,1822.6449,37.5
61,LSTM Agent,10,308.1213054427889,0.5482585506099447,True,16886.65,0.5
62,LSTM Agent,12,344.7839069108999,0.6038247056232923,True,16536.12,0.5
63,LSTM Agent,14,560.4716678884785,0.9815615899973353,True,14386.288,0.5
64,LSTM Agent,16,737.3927862259486,1.2779770991784205,True,12678.436,0.5
65,LSTM Agent,8,308.8087948355452,0.548505852283384,True,16883.809,0.5
66,LSTM Agent,10,375.08199075106415,0.6650389906933761,True,16230.16,0.5
67,LSTM Agent,12,390.1388186372949,0.6905111834288405,True,16090.929,0.5
68,LSTM Agent,14,468.7314389213,0.8151851111674783,True,15330.36,0.5
69,LSTM Agent,16,317.13227196933985,0.5612960565829024,True,16793.28,0.5
70,LSTM Agent,8,396.2102011172877,0.6951056159952416,True,16045.074,0.5
71,LSTM Agent,10,769.2949099479778,1.3263705343930652,True,12337.53,0.5
72,LSTM Agent,12,971.6392510276175,1.6330071445842311,True,10358.509,15.5
73,LSTM Agent,14,301.2749716424087,0.5351242835566762,True,16956.018,0.5
74,LSTM Agent,16,779.2522862354429,1.3671092740972681,True,12236.711,0.5
75,LSTM Agent,8,416.70636975508256,0.7388410811260329,True,15825.283,0.5
76,LSTM Agent,10,1194.0736490096342,2.0516729364426705,True,8172.159,19.0
77,LSTM Agent,12,459.58707723902694,0.8163180768011136,True,15403.668,0.5
78,LSTM Agent,14,639.0179883603014,1.133010617660109,True,13613.682,0.5
79,LSTM Agent,16,609.9147148746929,1.0794950705746778,True,13929.354,0.5
80,LSTM Agent,8,299.9873889124341,0.5328372804838971,True,16973.254,0.5
81,LSTM Agent,10,696.4164670809897,1.2260853293679397,True,13074.969,0.5
82,LSTM Agent,12,457.71284409614657,0.8101112284887549,True,15419.612,0.5
83,LSTM Agent,14,449.19667187309113,0.7936336958888536,True,15515.562,0.5
84,LSTM Agent,16,450.6117783696585,0.8003761605144911,True,15492.016,0.5
85,LSTM Agent,8,445.89879433440416,0.7906006991744755,True,15538.049,0.5
86,LSTM Agent,10,295.62615764001805,0.5250908661456803,True,17010.592,0.5
87,LSTM Agent,12,405.92554607437836,0.717182943594308,True,15925.512,0.5
88,LSTM Agent,14,317.6342251497421,0.5631812502655003,True,16799.98,0.5
89,LSTM Agent,16,915.8409242175882,1.5655400413975866,True,10936.691,0.5
90,LSTM Agent,8,727.1647973948611,1.2624388843660783,True,12763.714,0.5
91,LSTM Agent,10,324.9577846938118,0.5751465215819678,True,16729.977,0.5
92,LSTM Agent,12,489.0633868330698,0.8764576824965409,True,15104.332,0.5
93,LSTM Agent,14,529.248172053387,0.9417227260736423,True,14706.232,0.5
94,LSTM Agent,16,314.9772493744322,0.5594622546615137,True,16821.826,0.5
95,LSTM Agent,8,288.16258982510874,0.5118340849469072,True,17086.578,0.5
96,LSTM Agent,10,863.1902742033612,1.495997009017957,True,11402.26,0.5
97,LSTM Agent,12,404.3243409585146,0.7093409490500256,True,15947.741,0.5
98,LSTM Agent,14,325.7227437309033,0.577522595267559,True,16709.84,0.5
99,LSTM Agent,16,325.641826479164,0.5784046651494921,True,16713.848,0.5
100,LSTM Agent,8,768.6334584853811,1.3116611919545753,True,12384.54,0.5
101,LSTM Agent,10,926.9762237387906,1.5900106753667078,True,10810.539,0.5
102,LSTM Agent,12,781.9030430346592,1.3527734308558117,True,12209.605,0.5
103,LSTM Agent,14,459.6232912752665,0.8149349136086286,True,15382.559,0.5
104,LSTM Agent,16,793.2467378943807,1.389223709096989,True,12123.717,0.5
105,LSTM Agent,8,797.9602566188876,1.4048596067233936,True,12063.232,0.5
106,LSTM Agent,10,346.4496341474602,0.614272400970674,True,16502.672,0.5
107,LSTM Agent,12,650.9071872597017,1.1459633578515875,True,13508.516,0.5
108,LSTM Agent,14,418.86527987104853,0.7400446640831246,True,15818.022,0.5
109,LSTM Agent,16,827.6810773943904,1.431974182343236,True,11763.351,4.0
110,LSTM Agent,8,573.1316850936995,1.003733248850612,True,14295.182,0.5
111,LSTM Agent,10,765.8623603738273,1.343618176094434,True,12410.998,0.5
112,LSTM Agent,12,487.2721553722612,0.8639577222912432,True,15116.291,0.5
113,LSTM Agent,14,312.2799578481536,0.552707889996732,True,16841.195,0.5
114,LSTM Agent,16,324.33380312362374,0.5771064112519996,True,16728.285,0.5
115,LSTM Agent,8,372.65574419621595,0.6584023749049752,True,16250.297,0.5
116,LSTM Agent,10,585.7674775448843,1.0312807703255005,True,14170.941,0.5
117,LSTM Agent,12,666.1414339026917,1.172784214617415,True,13377.961,0.5
118,LSTM Agent,14,298.47114873515767,0.5282675198852348,True,16984.275,0.5
119,LSTM Agent,16,480.5439484518142,0.8658449521654309,True,15184.764,0.5
120,LSTM Agent,8,932.5968627289418,1.6162857239669701,True,10778.96,0.5
121,LSTM Agent,10,588.5747395713146,1.034402002761537,True,14125.701,3.5
122,LSTM Agent,12,781.7705998309224,1.359601043184213,True,12226.164,0.5
123,LSTM Agent,14,434.6507725971875,0.7612097593646016,True,15659.623,0.5
124,LSTM Agent,16,401.4435882825103,0.7117794118484225,True,15962.678,0.5
